km_abs,estaca_m,lado,codigo
45.73,45730,E,T-01
45.81,45810,E,I-01
45.858,45858,E,R-19.4
45.858,45858,E,A-7a
45.858,45858,E,I-02
45.877,45877,D,I-03
45.955,45955,D,R-7
45.988,45988,D,I-04
46.008,46008,E,I-05
46.032,46032,D,A-2a
46.411,46411,D,T-02
46.449,46449,E,A-2b
46.478,46478,D,R-7
46.56,46560,E,R-7
46.57,46570,D,E-1
46.6,46600,E,E-2
46.642,46642,D,A-5a
46.674,46674,D,R-19.6
47.307,47307,E,A-5a
47.327,47327,D,EA-18c
47.352,47352,D,EA-18a
47.382,47382,E,EA-18a
47.391,47391,D,A-2a
47.411,47411,D,EA-18a
47.456,47456,E,EA-18a
47.552,47552,E,EA-18c
47.787,47787,E,A-2b
47.788,47788,E,R-7
47.865,47865,D,R-7
47.948,47948,D,A-2a
48.271,48271,E,A-2b
48.33,48330,D,A-2b
48.363,48363,E,R-19.4
48.805,48805,E,A-2a
48.84,48840,D,R-7
48.903,48903,E,R-7
49.002,49002,D,A-2a
49.408,49408,E,A-2b
49.52,49520,D,R-7
49.525,49525,E,R-7
49.63,49630,D,A-2b
49.766,49766,E,I-06
50.122,50122,E,A-2a
50.192,50192,D,R-7
50.231,50231,E,R-7
50.613,50613,E,A-2b
50.772,50772,E,R-7
51.188,51188,D,R-7
51.229,51229,E,R-7
51.683,51683,E,R-7
51.947,51947,D,R-7
52.545,52545,E,R-7
53.002,53002,D,R-7
53.084,53084,D,A-2b
53.224,53224,D,R-19.4
53.297,53297,D,EA-18c
53.354,53354,D,EA-18a
53.365,53365,E,EA-18a
53.394,53394,E,A-2a
53.447,53447,E,EA-18c
53.534,53534,E,R-7
53.548,53548,E,R-19.4
53.595,53595,E,R-7
54.18,54180,E,A-2b
54.274,54274,E,R-7
54.813,54813,D,R-7
54.925,54925,D,A-2b
55.177,55177,E,A-2a
55.307,55307,D,A-2b
55.544,55544,E,A-2a
55.958,55958,D,A-2a
56.289,56289,E,A-2b
56.637,56637,E,R-7
56.759,56759,D,A-2b
57.107,57107,D,A-2a
57.165,57165,E,A-2a
57.533,57533,E,A-2b
58.029,58029,E,R-7
58.219,58219,D,R-7
58.338,58338,D,A-2b
58.395,58395,D,A-36
58.626,58626,E,A-2a
58.758,58758,D,R-7
58.787,58787,E,R-7
59.18,59180,D,R-7
59.214,59214,E,R-7
59.665,59665,D,R-7
59.696,59696,E,R-7
59.785,59785,D,A-2b
60.099,60099,E,A-2a
60.214,60214,D,A-5a
60.335,60335,E,
60.874,60874,E,A-36
60.981,60981,E,E-3
61.156,61156,E,A-5b
61.261,61261,E,R-7
61.332,61332,D,A-36
61.436,61436,D,R-7
61.524,61524,D,A-2a
61.64,61640,D,
61.965,61965,D,A-2a
62.048,62048,E,A-2b
62.116,62116,D,
62.43,62430,E,A-2b
63.048,63048,E,A-36
63.136,63136,D,R-7
63.145,63145,E,R-7
63.209,63209,D,A-2b
63.555,63555,E,A-2a
63.663,63663,E,R-7
63.7,63700,D,R-7
63.807,63807,D,A-2a
64.105,64105,E,A-2b
64.183,64183,D,A-2b
64.375,64375,D,R-19.8
64.451,64451,E,A-2a
64.569,64569,E,R-7
65.041,65041,D,R-7
65.185,65185,E,R-19.8
65.194,65194,D,A-2b
65.27,65270,D,R-19.6
65.396,65396,D,A-2a
65.467,65467,E,A-2a
65.676,65676,D,EA-18c
65.732,65732,E,A-2b
65.756,65756,D,EA-18a
65.777,65777,E,EA-18a
65.851,65851,E,E-4
65.895,65895,E,EA-18c
65.942,65942,E,R-7
66.5,66500,D,R-7
66.692,66692,D,EA-18a
66.813,66813,D,EA-18a
66.857,66857,E,R-19.4
67.078,67078,D,EA-18c
67.211,67211,E,EA-18a
67.259,67259,E,EA-18c
67.281,67281,D,T-03
67.292,67292,E,R-19.4
67.463,67463,E,R-7
67.593,67593,D,R-7
67.742,67742,E,I-07
67.843,67843,D,E-5
67.847,67847,E,R-19.6
67.904,67904,E,E-6
68.054,68054,D,A-2b
68.44,68440,E,A-2a
68.76,68760,D,EA-18c
68.76,68760,E,A-2a
68.774,68774,E,R-7
68.847,68847,E,EA-18a
